GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg Seq in_grs
12.705 -0.147 34.7 0.0058 0.0037 231 0.982 -0.5 -0.6293203910498378 -0.7771459614569706 3.3543402777777785e-05 1.3792970679012344e-05 0 2710 0
12.699 0.478 19.0 0.0069 0.0042 178 0.9655 -0.5 -0.9993908270190958 0.03489949670250114 4.789793402777777e-05 1.7803711419753083e-05 0 2711 0
12.708 -0.115 55.9 0.005 0.0031 227 1.8933 -0.5 -0.6819983600624986 -0.7313537016191705 2.508340277777778e-05 9.430017361111112e-06 0 2713 0
12.714 -0.219 34.4 0.0073 0.0048 181 2.8328 -0.5 -0.9998476951563913 -0.017452406437283192 5.3940864197530874e-05 2.284043402777777e-05 0 2715 0
12.739 -0.102 55.8 0.0045 0.0033 247 2.0487 -0.5 -0.3907311284892738 -0.9205048534524403 1.98643537808642e-05 1.058056327160494e-05 0 2721 0
12.748 -0.231 36.1 0.0046 0.0025 254 3.3556 -0.5 -0.2756373558169997 -0.9612616959383187 2.1134452160493825e-05 6.098155864197532e-06 0 2724 0
12.758 0.558 18.8 0.0032 0.0019 148 1.9215 -0.5 -0.848048096156426 0.5299192642332049 1.048140625e-05 3.7002797067901227e-06 1 2725 0
12.782 -0.269 35.7 0.0032 0.0017 218 2.011 -0.5 -0.788010753606722 -0.6156614753256582 1.0213350694444445e-05 2.9660493827160493e-06 0 2732 0
12.786 0.463 19.9 0.0043 0.0022 218 1.9215 -0.5 -0.788010753606722 -0.6156614753256582 1.813340277777778e-05 4.870603780864198e-06 1 2734 0
12.804 -0.497 38.4 0.0046 0.0035 211 1.9215 -0.5 -0.8571673007021123 -0.5150380749100542 2.0740434027777777e-05 1.2386489197530864e-05 1 2737 0
12.805 0.463 19.9 0.0025 0.0015 142 1.9215 -0.5 -0.7880107536067219 0.6156614753256584 6.222253086419753e-06 2.196159336419753e-06 1 2739 0
12.809 -0.312 14.2 0.0068 0.0046 127 1.5542 -0.5 -0.601815023152048 0.798635510047293 4.575019290123458e-05 2.121114197530864e-05 0 2740 0
12.804 -0.199 34.7 0.0068 0.005 188 2.9765 -0.5 -0.9902680687415703 -0.13917310096006552 4.6618549382716043e-05 2.4875156249999997e-05 0 2741 0
