GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg MSXDC m_MSXDC
19.9270 -0.2930 68.7000 0.0875 0.0383 241 5.8000 -0.5 -0.48480962024633767 -0.8746197071393955 0.007656249999999999 0.0014694444444444442 0 G019.92-00.29 0
19.9350 -0.8220 42.2000 0.0200 0.0192 99 3.3000 -0.5 -0.1564344650402308 0.9876883405951378 0.0004 0.00036736111111111106 0 G019.93-00.82 0
20.0670 -0.8460 40.0000 0.0217 0.0158 90 2.1000 -0.5 6.123233995736766e-17 1.0 0.0004694444444444445 0.0002506944444444444 0 G020.06-00.84 0
20.7530 0.4610 28.8000 0.0525 0.0267 145 4.2000 -0.5 -0.8191520442889917 0.5735764363510464 0.0027562499999999996 0.0007111111111111113 0 G020.75+00.46 0
21.0540 0.5700 7.7000 0.0275 0.0192 212 1.0000 -0.5 -0.8480480961564261 -0.5299192642332048 0.0007562499999999999 0.00036736111111111106 0 G021.05+00.57 0
21.3730 -0.5370 54.0000 0.0542 0.0175 188 4.4000 -0.5 -0.9902680687415703 -0.13917310096006552 0.002934027777777778 0.00030625000000000004 0 G021.37-00.53 0
21.5570 0.3490 81.0000 0.1067 0.0708 235 6.1000 -0.5 -0.5735764363510457 -0.8191520442889921 0.01137777777777778 0.0050173611111111105 0 G021.55+00.34 0
21.9830 -0.3840 79.4000 0.0500 0.0267 244 7.2000 -0.5 -0.43837114678907774 -0.8987940462991668 0.0025000000000000005 0.0007111111111111113 0 G021.98-00.38 0
22.0090 0.3530 49.9000 0.0708 0.0508 237 3.2000 -0.5 -0.544639035015027 -0.838670567945424 0.0050173611111111105 0.002584027777777777 0 G022.00+00.35 0
22.0170 -0.5440 53.6000 0.0258 0.0125 191 3.9000 -0.5 -0.981627183447664 -0.19080899537654475 0.0006673611111111111 0.00015625000000000003 0 G022.01-00.54 0
22.0750 0.2030 51.7000 0.0133 0.0100 194 4.2000 -0.5 -0.9702957262759965 -0.2419218955996675 0.0001777777777777778 0.0001 0 G022.07+00.20 0
22.1350 0.4800 50.3000 0.1475 0.0625 220 2.7000 -0.5 -0.7660444431189781 -0.6427876096865393 0.021756249999999998 0.00390625 0 G022.13+00.47 0
22.1600 -0.6640 50.4000 0.0283 0.0242 200 8.9000 -0.5 -0.9396926207859084 -0.34202014332566866 0.0008027777777777777 0.0005840277777777777 0 G022.15-00.66 0
22.2470 -0.6320 50.8000 0.0283 0.0133 186 6.8000 -0.5 -0.9945218953682733 -0.10452846326765348 0.0008027777777777777 0.0001777777777777778 0 G022.24-00.63 0
22.2960 -0.6290 51.3000 0.0433 0.0283 207 7.9000 -0.5 -0.8910065241883679 -0.4539904997395467 0.001877777777777778 0.0008027777777777777 0 G022.29-00.62 0
22.3570 0.4160 60.5000 0.0575 0.0450 234 2.2000 -0.5 -0.5877852522924732 -0.8090169943749473 0.00330625 0.0020250000000000003 0 G022.35+00.41 0
22.4500 -0.7580 69.2000 0.0233 0.0108 158 4.4000 -0.5 -0.9271838545667873 0.37460659341591224 0.0005444444444444443 0.00011736111111111112 0 G022.45-00.75 0
22.4710 0.2770 57.2000 0.0667 0.0150 178 3.9000 -0.5 -0.9993908270190958 0.03489949670250114 0.0044444444444444444 0.000225 0 G022.47+00.27 0
22.5400 -0.5200 75.9000 0.0450 0.0300 186 5.8000 -0.5 -0.9945218953682733 -0.10452846326765348 0.0020250000000000003 0.0009 0 G022.54-00.51 0
22.7300 0.1190 77.8000 0.0392 0.0217 192 7.0000 -0.5 -0.9781476007338056 -0.2079116908177595 0.001534027777777778 0.0004694444444444445 0 G022.73+00.11 0
22.8730 -0.4070 76.7000 0.0208 0.0150 161 5.7000 -0.5 -0.9455185755993168 0.3255681544571566 0.00043402777777777775 0.000225 0 G022.87-00.40 0
22.9380 -0.1770 64.4000 0.0333 0.0267 107 4.9000 -0.5 -0.29237170472273666 0.9563047559630355 0.0011111111111111111 0.0007111111111111113 0 G022.93-00.17 0
23.0650 0.0440 93.3000 0.0275 0.0183 127 8.5000 -0.5 -0.601815023152048 0.798635510047293 0.0007562499999999999 0.00033611111111111114 0 G023.06+00.04 0
23.0940 -0.0800 67.6000 0.0267 0.0192 161 8.6000 -0.5 -0.9455185755993168 0.3255681544571566 0.0007111111111111113 0.00036736111111111106 0 G023.09-00.08 0
23.1880 -0.9620 55.8000 0.0567 0.0383 151 8.4000 -0.5 -0.8746197071393957 0.48480962024633717 0.0032111111111111108 0.0014694444444444442 0 G023.18-00.96 0
23.2260 -0.3720 76.8000 0.0983 0.0692 148 4.9000 -0.5 -0.848048096156426 0.5299192642332049 0.009669444444444446 0.004784027777777778 0 G023.22-00.37 0
23.2290 -0.4800 61.4000 0.0183 0.0167 213 2.5000 -0.5 -0.838670567945424 -0.5446390350150271 0.00033611111111111114 0.0002777777777777778 0 G023.22-00.48 0
23.3240 0.0430 82.5000 0.0433 0.0183 173 11.1000 -0.5 -0.992546151641322 0.12186934340514755 0.001877777777777778 0.00033611111111111114 0 G023.32+00.04 0
23.3340 -0.4100 61.0000 0.0475 0.0200 219 13.6000 -0.5 -0.7771459614569711 -0.6293203910498373 0.00225625 0.0004 0 G023.33-00.41 0
23.3700 -0.1250 97.8000 0.0250 0.0083 172 8.0000 -0.5 -0.9902680687415703 0.13917310096006574 0.0006250000000000001 6.944444444444444e-05 0 G023.37-00.12 0
23.4270 -0.1030 53.5000 0.0158 0.0100 147 6.3000 -0.5 -0.8386705679454242 0.5446390350150269 0.0002506944444444444 0.0001 0 G023.42-00.10 0
