GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb GName
27.5620 0.0840 87.5000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G027.562+00.084
27.5648 0.0901 87.5000 0.0027 0.0027 0 4.0500 0.5 1.0 0.0 7.04932000308642e-06 7.04932000308642e-06 G027.564+00.090
27.6113 0.0204 88.7000 0.0093 0.0093 0 4.0500 0.5 1.0 0.0 8.575557407426699e-05 8.575557407426699e-05 G027.611+00.020
27.6820 0.0760 100.2000 0.0162 0.0162 0 4.0500 -0.5 1.0 0.0 0.00026119498011188273 0.00026119498011188273 G027.682+00.076
27.9340 0.2060 50.6000 0.0059 0.0059 0 4.0500 -0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G027.934+00.206
27.9800 0.0800 76.6000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G027.980+00.080
27.9970 0.3170 92.7000 0.0230 0.0230 0 4.0500 0.5 1.0 0.0 0.0005267981293402777 0.0005267981293402777 G027.997+00.317
28.0225 -0.0422 99.9000 0.0276 0.0276 0 4.0500 0.5 1.0 0.0 0.0007600666088155864 0.0007600666088155864 G028.022-00.043
28.1469 0.1469 89.2000 0.0203 0.0203 0 4.0500 -0.5 1.0 0.0 0.00041347268566743826 0.00041347268566743826 G028.146+00.146
28.2866 -0.3701 76.9000 0.0031 0.0031 0 4.0500 -0.5 1.0 0.0 9.409811876736112e-06 9.409811876736112e-06 G028.286-00.371
28.2875 -0.3648 76.9000 0.0083 0.0083 0 4.0500 -0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G028.287-00.365
28.3053 -0.3900 77.3000 0.0092 0.0092 0 4.0500 -0.5 1.0 0.0 8.414775112673612e-05 8.414775112673612e-05 G028.305-00.390
28.3200 1.2430 -39.2000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G028.320+01.243
28.5810 0.1450 -13.0000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G028.581+00.145
28.5908 -0.3519 89.0000 0.0094 0.0094 0 4.0500 -0.5 1.0 0.0 8.87675410650077e-05 8.87675410650077e-05 G028.590-00.352
28.6078 0.0197 96.6000 0.0031 0.0031 0 4.0500 -0.5 1.0 0.0 9.333788765625001e-06 9.333788765625001e-06 G028.607+00.019
28.6104 0.0155 96.6000 0.0075 0.0075 0 4.0500 -0.5 1.0 0.0 5.64754337501929e-05 5.64754337501929e-05 G028.610+00.015
28.6517 0.0265 102.4000 0.0047 0.0047 0 4.0500 0.5 1.0 0.0 2.2155718250192904e-05 2.2155718250192904e-05 G028.651+00.026
28.6884 0.1778 87.6000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G028.688+00.177
28.7460 3.4590 -1.1000 0.1676 0.1676 0 4.0500 0.5 1.0 0.0 0.02809674376736111 0.02809674376736111 G028.746+03.458
28.8010 0.1702 107.6000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G028.801+00.170
28.8230 -0.2260 90.6000 0.0187 0.0187 0 4.0500 -0.5 1.0 0.0 0.0003484548148919752 0.0003484548148919752 G028.823-00.226
28.8238 0.2363 98.8000 0.0219 0.0219 0 4.0500 0.5 1.0 0.0 0.00047902009816743835 0.00047902009816743835 G028.823+00.236
28.9830 -0.6033 52.6000 0.0249 0.0249 0 4.0500 -0.5 1.0 0.0 0.000620978711419753 0.000620978711419753 G028.983-00.604
