GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg DESIGNATION in_grs
15.3247 -0.1531 31.364 0.0052 0.0052 0 3.367 -0.5 1.0 0.0 2.7155679012345686e-05 2.7155679012345686e-05 1 HIGALBM15.3247-0.1531 1
15.3478 -0.1334 30.778 0.0046 0.0046 0 3.367 -0.5 1.0 0.0 2.1134452160493825e-05 2.1134452160493825e-05 1 HIGALBM15.3478-0.1334 1
15.3554 -0.2919 30.495 0.0016 0.0016 0 3.367 -0.5 1.0 0.0 2.555557484567901e-06 2.555557484567901e-06 1 HIGALBM15.3554-0.2919 1
15.3648 -0.4168 59.032 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 5.873890817901235e-06 5.873890817901235e-06 1 HIGALBM15.3648-0.4168 1
15.3939 -0.3291 32.769 0.0026 0.0026 0 3.367 -0.5 1.0 0.0 6.934444444444445e-06 6.934444444444445e-06 1 HIGALBM15.3939-0.3291 1
15.4344 0.1921 47.775 0.0022 0.0022 0 3.367 -0.5 1.0 0.0 4.760881558641976e-06 4.760881558641976e-06 1 HIGALBM15.4344+0.1921 1
15.457 0.1179 33.887 0.0027 0.0027 0 3.367 -0.5 1.0 0.0 7.111111111111111e-06 7.111111111111111e-06 1 HIGALBM15.4570+0.1179 1
15.4596 0.2533 49.431 0.0026 0.0026 0 3.367 -0.5 1.0 0.0 6.832415123456791e-06 6.832415123456791e-06 1 HIGALBM15.4596+0.2533 1
15.4602 0.2416 49.433 0.0011 0.0011 0 3.367 -0.5 1.0 0.0 1.1289062500000001e-06 1.1289062500000001e-06 1 HIGALBM15.4602+0.2416 1
15.4912 0.1315 36.697 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 5.6670447530864195e-06 5.6670447530864195e-06 1 HIGALBM15.4912+0.1315 1
15.558 -0.4639 15.289 0.0015 0.0015 0 3.367 -0.5 1.0 0.0 2.346853780864197e-06 2.346853780864197e-06 1 HIGALBM15.5580-0.4639 1
15.6063 -0.2241 58.31 0.003 0.003 0 3.367 0.5 1.0 0.0 9.28556327160494e-06 9.28556327160494e-06 1 HIGALBM15.6063-0.2241 1
15.6089 -0.4875 -3.67 0.002 0.002 0 3.367 0.5 1.0 0.0 3.8079185956790127e-06 3.8079185956790127e-06 1 HIGALBM15.6088-0.4875 1
15.7089 -0.5803 17.174 0.0022 0.0022 0 3.367 -0.5 1.0 0.0 4.833890817901235e-06 4.833890817901235e-06 1 HIGALBM15.7089-0.5803 1
15.7181 -0.5938 17.403 0.0031 0.0031 0 3.367 -0.5 1.0 0.0 9.387415123456789e-06 9.387415123456789e-06 1 HIGALBM15.7181-0.5938 1
15.7315 -0.6082 17.637 0.0053 0.0053 0 3.367 -0.5 1.0 0.0 2.806056327160494e-05 2.806056327160494e-05 1 HIGALBM15.7315-0.6082 1
