lonMin lonMax latMin latMax velMin velMax KDA pFar
35.01 35.97 0.675 1.005 9.8 13.02 N 0.0
25.27 25.51 -0.54 -0.18 55.73 58.07 N 0.0
35.485 35.695 -1.005 -0.815 32.46 35.42 N 0.0
19.425 19.855 -0.825 -0.495 52.455 58.785 N 0.0
22.7 23.08 0.435 1.145 35.72 38.96 N 0.0
29.835 30.345 -0.675 0.055 69.005 71.995 N 0.0
18.16 18.62 -0.62 -0.2 42.455 46.685 N 0.0
39.05 39.63 -0.755 0.235 66.56 72.74 N 0.0
29.76 30.22 -0.665 -0.155 70.275 74.125 N 0.0
29.065 29.515 -0.275 0.055 77.135 81.705 N 0.0
30.685 30.995 -0.275 -0.045 50.935 54.345 N 0.0
22.2 22.48 -0.055 0.235 81.82 88.08 N 0.0
26.355 26.725 -0.525 -0.095 105.52 109.44 F 1.0
18.155 18.325 0.585 0.795 36.235 40.145 F 1.0
44.105 44.475 -0.165 0.245 55.07 58.73 F 1.0
41.62 41.86 -0.045 0.125 16.415 19.165 F 1.0
26.545 26.835 -0.15 0.23 98.025 102.475 N 0.0
43.635 44.145 -0.945 -0.675 52.935 55.745 N 0.0
32.51 32.77 0.41 0.67 8.26 9.46 N 0.0
28.325 28.655 0.115 0.265 99.84 102.36 N 0.0
31.085 31.395 -0.265 0.045 76.605 81.395 N 0.0
24.75 25.03 0.0 0.28 43.635 48.045 N 0.0
26.46 26.62 -0.865 -0.455 66.215 69.685 N 0.0
30.36 30.72 0.355 0.825 86.825 89.875 F 1.0
52.975 53.105 -0.145 0.325 3.425 6.655 F 1.0
26.175 26.605 0.705 0.975 45.615 49.465 F 1.0
25.34 25.54 -0.64 -0.38 57.28 59.92 N 0.0
24.885 25.395 -0.665 -0.155 53.63 56.75 N 0.0
48.305 48.875 -0.125 0.205 15.15 19.57 F 1.0
32.285 32.695 0.155 0.325 48.595 53.285 F 1.0
31.835 32.145 -0.685 -0.335 69.205 73.495 N 0.0
35.94 36.24 0.485 0.795 74.42 78.48 N 0.0
34.495 34.885 -0.255 0.235 42.02 44.56 N 0.0
35.76 36.32 -0.655 -0.265 57.91 61.83 N 0.0
25.64 25.94 0.585 0.995 47.64 50.84 N 0.0
55.25 55.43 0.03 0.35 28.67 31.57 F 1.0
22.68 23.0 0.025 0.155 3.735 5.485 N 0.0
23.91 24.57 -0.245 0.125 87.665 91.595 N 0.0
27.515 27.865 -0.26 0.04 74.005 78.035 N 0.0
29.235 29.545 -0.62 -0.2 76.68 80.46 N 0.0
48.52 48.76 -0.52 -0.1 31.7 36.18 F 1.0
25.375 25.505 -0.22 -0.1 63.335 65.765 N 0.0
38.62 38.96 -0.67 -0.35 64.07 68.43 F 1.0
34.465 34.815 -0.96 -0.56 52.58 57.8 N 0.0
44.58 44.8 -0.31 0.09 50.385 53.195 N 0.0
28.845 29.235 -0.65 -0.37 77.805 82.735 N 0.0
30.95 31.53 -0.14 0.12 41.39 47.75 F 1.0
21.26 21.92 -0.295 0.075 118.625 122.695 F 1.0
25.825 26.155 0.705 1.175 44.87 47.67 N 0.0
23.435 23.745 -0.16 0.04 53.235 56.305 N 0.0
20.915 21.265 0.2 0.48 7.265 7.915 N 0.0
27.745 27.935 -0.29 -0.13 42.99 45.29 N 0.0
34.495 34.885 -0.745 -0.275 81.185 83.615 N 0.0
21.715 21.965 -0.415 -0.105 77.675 82.865 N 0.0
27.95 28.53 0.065 0.415 85.01 90.85 F 1.0
25.75 26.13 -0.27 0.05 106.3 110.36 F 1.0
19.38 19.7 -0.695 -0.225 62.04 65.36 F 1.0
38.635 39.245 0.87 1.01 27.03 29.81 N 0.0
28.225 28.455 -0.52 -0.4 41.31 44.43 N 0.0
32.79 33.29 0.02 0.46 8.26 10.32 F 1.0
20.725 20.855 0.28 0.6 27.17 30.51 N 0.0
41.96 42.32 0.03 0.15 14.7 16.62 N 0.0
28.23 28.55 -0.165 0.145 97.505 100.455 N 0.0
18.805 19.075 0.24 0.84 55.59 58.21 F 1.0
20.645 20.735 -0.15 -0.07 104.0 105.86 N 0.0
39.9 40.28 -0.695 -0.325 54.815 60.685 F 1.0
25.17 25.41 -0.585 -0.335 57.585 59.615 N 0.0
24.7 24.98 -0.305 -0.015 87.785 93.175 N 0.0
34.4 34.88 -0.155 0.135 42.56 46.58 N 0.0
38.51 39.07 0.57 1.01 31.5 33.84 N 0.0
38.54 39.14 0.505 1.075 28.97 31.27 N 0.0
30.185 30.595 0.28 0.5 91.955 94.945 N 0.0
25.315 25.765 -0.48 -0.24 61.31 63.53 N 0.0
24.9 25.38 -0.68 -0.44 54.655 57.445 N 0.0
27.82 28.16 0.18 0.4 96.96 100.14 N 0.0
23.725 24.255 -0.2 -0.02 69.57 74.83 N 0.0
24.31 24.77 -0.31 0.09 93.51 96.79 F 1.0
30.35 30.53 0.29 0.59 43.895 46.085 N 0.0
30.88 31.2 0.62 0.86 48.885 52.155 N 0.0
18.78 19.0 -0.575 -0.245 24.245 26.635 N 0.0
46.325 46.655 -0.82 -0.6 24.715 27.025 N 0.0
34.495 34.985 0.46 0.72 43.365 48.315 N 0.0
22.255 22.525 0.195 0.685 59.225 62.215 N 0.0
25.53 25.95 0.035 0.345 98.91 102.45 F 1.0
35.62 35.76 -1.025 -0.795 55.73 58.91 N 0.0
17.845 18.035 -0.785 -0.535 39.07 43.27 F 1.0
52.16 52.32 0.67 0.81 2.96 6.26 F 1.0
32.87 33.41 -0.225 0.005 74.55 79.19 N 0.0
36.315 36.565 0.575 0.705 70.045 73.495 N 0.0
37.92 38.16 -0.495 -0.025 11.375 14.845 N 0.0
19.775 20.105 0.305 0.575 5.92 6.7 N 0.0
18.085 18.395 -0.58 -0.24 55.84 59.66 N 0.0
25.75 26.03 -0.115 0.295 99.365 102.835 N 0.0
35.81 36.27 -0.89 -0.63 11.8 14.42 N 0.0
29.015 29.265 -0.365 0.045 46.865 49.915 F 1.0
38.165 38.415 0.805 0.975 44.92 46.76 N 0.0
35.225 35.655 0.1 0.38 46.585 50.195 N 0.0
35.355 35.525 -0.135 0.215 14.06 15.56 N 0.0
26.435 26.745 0.305 0.575 84.18 88.28 F 1.0
30.225 30.655 -0.885 -0.635 9.975 14.545 N 0.0
52.32 52.46 -0.7 -0.52 32.795 35.945 N 0.0
31.64 31.74 -0.64 -0.28 78.79 81.75 N 0.0
42.15 42.53 0.245 0.535 14.765 15.715 F 1.0
26.815 27.065 -0.4 -0.22 67.38 70.22 F 1.0
23.735 24.145 -0.47 -0.15 71.21 74.89 N 0.0
26.955 27.625 0.04 0.24 30.395 35.785 F 1.0
21.14 21.54 -0.37 0.05 64.485 68.015 N 0.0
20.235 20.445 -0.255 0.235 6.28 7.2 N 0.0
42.98 43.3 -0.47 -0.25 39.47 42.87 N 0.0
36.805 37.175 0.75 1.03 11.43 13.95 N 0.0
30.46 30.82 0.37 0.81 82.2 85.14 N 0.0
19.3 19.88 -0.02 0.2 121.1 125.32 N 0.0
36.19 36.59 0.745 0.935 70.055 72.645 N 0.0
35.055 35.425 -0.685 -0.435 12.525 14.555 N 0.0
22.28 22.5 0.26 0.62 51.595 54.545 N 0.0
21.29 21.79 -0.36 0.14 72.37 74.57 N 0.0
29.155 29.425 -0.29 -0.03 45.995 49.085 N 0.0
28.715 28.965 -0.49 -0.23 100.01 102.19 N 0.0
39.785 40.195 -0.805 -0.615 12.98 14.1 N 0.0
25.85 26.13 -0.21 0.09 88.58 91.52 N 0.0
30.33 30.75 -0.72 -0.4 89.91 93.59 N 0.0
26.515 26.665 -0.025 0.205 24.245 29.195 N 0.0
27.785 28.095 -0.195 0.175 47.195 50.445 N 0.0
38.98 39.7 -0.43 -0.19 64.385 67.255 N 0.0
36.33 36.55 0.885 0.995 42.12 43.62 F 1.0
34.98 35.2 -0.47 -0.25 14.42 16.06 N 0.0
24.59 25.09 0.545 0.835 41.18 44.56 N 0.0
32.075 32.405 -0.035 0.215 81.145 84.495 F 1.0
40.84 41.24 -0.47 -0.05 35.86 42.22 F 1.0
23.525 23.855 0.385 0.695 80.96 86.38 F 1.0
38.005 38.375 -0.26 -0.06 61.395 64.305 N 0.0
25.35 25.63 -0.1 0.28 108.725 111.335 N 0.0
36.185 36.595 -0.17 0.15 29.095 31.985 N 0.0
34.655 34.825 -0.24 0.02 76.935 80.205 N 0.0
38.125 38.855 0.0 0.28 15.84 18.88 N 0.0
53.55 53.63 -0.935 -0.785 24.495 25.525 N 0.0
40.82 41.26 -0.44 -0.08 63.24 68.4 N 0.0
39.88 40.2 -0.955 -0.865 12.94 14.14 N 0.0
36.465 37.115 0.495 0.985 21.365 22.715 N 0.0
49.375 49.705 -0.97 -0.85 40.85 45.73 F 1.0
22.985 23.195 0.28 0.5 2.32 4.36 F 1.0
37.445 37.635 -0.175 0.355 40.885 43.995 N 0.0
25.755 26.025 0.205 0.475 97.465 99.635 N 0.0
30.225 30.855 0.02 0.26 36.63 40.61 N 0.0
34.665 34.915 -0.92 -0.7 35.625 38.215 N 0.0
24.97 25.21 0.59 0.79 38.83 41.81 N 0.0
28.295 28.885 -0.65 0.13 60.525 66.875 N 0.0
21.43 21.65 -0.145 0.125 67.16 69.58 F 1.0
17.83 18.05 -0.155 0.135 51.16 53.28 N 0.0
29.505 29.975 -0.47 -0.15 80.52 84.28 N 0.0
22.635 23.145 -0.075 0.455 83.44 89.86 N 0.0
37.745 38.035 -0.49 0.07 11.66 15.42 N 0.0
30.8 31.18 -0.95 -0.57 81.115 84.525 F 1.0
30.705 30.975 0.52 0.76 77.325 80.675 F 1.0
19.895 20.285 -0.28 0.16 6.145 7.335 N 0.0
29.915 30.365 -0.225 0.105 85.73 88.43 N 0.0
24.085 24.495 -1.01 -0.81 46.845 49.935 N 0.0
23.515 23.765 0.91 1.17 13.945 15.675 N 0.0
29.545 29.835 -0.05 0.23 98.245 101.415 N 0.0
18.11 19.27 -0.14 0.22 76.425 84.115 F 1.0
32.585 32.895 0.07 0.31 18.31 20.67 F 1.0
22.765 23.115 0.07 0.41 71.49 74.61 N 0.0
30.04 30.44 -0.435 -0.085 90.65 93.71 N 0.0
22.825 23.255 -0.415 0.195 101.41 106.75 N 0.0
20.295 20.585 -0.555 -0.165 42.265 47.715 F 1.0
36.16 36.42 0.095 0.285 16.765 18.815 N 0.0
26.49 26.89 -0.86 -0.56 55.89 58.75 N 0.0
32.725 33.055 -0.32 -0.1 79.43 82.81 N 0.0
19.395 19.785 -0.13 0.01 58.47 61.27 F 1.0
30.2 30.58 0.42 0.56 14.315 18.705 F 1.0
28.67 29.01 0.02 0.26 49.375 55.065 N 0.0
35.725 35.955 -0.73 -0.49 13.12 14.8 N 0.0
41.2 41.48 -0.245 -0.075 12.405 14.675 F 1.0
39.7 40.18 -1.2 -0.62 51.78 54.36 N 0.0
41.32 41.46 -0.945 -0.875 29.315 30.925 N 0.0
34.72 35.26 -0.165 0.145 26.885 29.095 N 0.0
20.245 20.935 -0.62 -0.3 65.31 68.03 N 0.0
41.195 41.485 -0.035 0.215 58.325 62.275 F 1.0
28.15 28.63 -0.66 -0.16 71.355 74.745 N 0.0
21.155 21.625 -0.455 -0.065 88.475 94.185 N 0.0
41.785 42.295 -0.24 0.22 55.28 60.22 F 1.0
34.595 34.785 -1.045 -0.675 36.155 39.385 F 1.0
19.655 19.925 -0.935 -0.785 62.55 66.55 N 0.0
37.42 37.76 -0.885 -0.435 19.29 22.23 N 0.0
19.465 19.815 -0.38 -0.14 41.13 43.75 F 1.0
30.045 30.335 0.065 0.315 40.865 46.575 F 1.0
42.91 43.17 -0.285 0.065 39.765 43.415 N 0.0
19.45 20.03 -0.38 -0.14 38.965 43.375 F 1.0
40.105 40.875 0.875 1.205 30.585 34.755 F 1.0
24.365 24.815 0.395 0.585 43.175 45.965 N 0.0
23.85 24.23 0.645 0.935 9.01 11.27 N 0.0
32.49 33.29 -0.595 -0.325 47.635 50.845 F 1.0
24.86 25.02 -1.07 -0.75 39.91 46.67 F 1.0
27.635 28.045 -0.43 -0.09 103.16 105.84 F 1.0
27.005 27.375 -0.21 0.19 100.93 103.83 N 0.0
27.45 27.63 -0.535 -0.185 94.61 96.55 F 1.0
41.465 41.715 -0.905 -0.715 28.29 30.25 N 0.0
37.715 38.065 -0.57 -0.25 58.165 64.135 F 1.0
24.055 24.525 -0.07 0.25 98.13 102.37 N 0.0
27.99 28.39 -0.585 -0.235 74.9 78.84 F 1.0
35.775 36.105 -0.23 0.01 50.645 54.635 N 0.0
37.725 37.955 -0.545 -0.275 63.32 66.62 F 1.0
20.03 20.35 -0.765 -0.555 61.43 65.97 F 1.0
38.78 39.2 -0.525 -0.295 58.17 63.27 F 1.0
35.06 35.22 -0.2 0.08 13.58 15.2 N 0.0
26.725 27.055 -0.26 0.04 78.57 81.97 F 1.0
22.565 23.215 0.195 0.585 111.84 117.58 N 0.0
28.935 29.745 -1.04 -0.58 8.215 10.365 N 0.0
19.055 19.225 -0.38 -0.14 97.415 103.085 F 1.0
35.165 35.515 -1.025 -0.695 42.47 45.81 F 1.0
30.515 31.065 -0.915 -0.805 78.575 81.965 F 1.0
28.585 28.895 -0.365 -0.055 101.16 103.6 N 0.0
21.565 21.715 0.08 0.2 23.95 25.23 N 0.0
17.945 18.035 -0.3 -0.22 23.745 24.575 N 0.0
19.565 19.915 -0.255 -0.065 56.49 59.85 F 1.0
20.075 20.505 -0.07 0.25 67.29 74.55 F 1.0
38.06 38.42 -0.24 -0.08 63.075 67.725 F 1.0
19.84 20.24 -0.25 -0.07 53.825 59.115 F 1.0
38.74 39.34 -1.185 -0.635 69.195 74.345 N 0.0
28.78 29.0 0.08 0.3 50.25 52.49 N 0.0
32.815 33.265 -0.06 0.14 81.605 85.735 F 1.0
18.07 18.61 -0.915 -0.705 50.22 54.22 N 0.0
