GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb Source
23.7100 -0.1810 69.8000 0.0625 0.0625 0 2.3700 0.5 1.0 0.0 0.00390625 0.00390625 3153
23.8260 -0.0490 56.9000 0.0852 0.0852 0 1.0200 0.5 1.0 0.0 0.0072533611111111115 0.0072533611111111115 3170
23.8800 -0.1160 75.1000 0.0662 0.0662 0 2.5600 -0.5 1.0 0.0 0.0043780277777777776 0.0043780277777777776 3183
23.8590 -0.3010 55.9000 0.1202 0.1202 0 0.9600 0.5 1.0 0.0 0.014440027777777776 0.014440027777777776 3185
23.8890 0.0770 38.5000 0.1013 0.1013 0 2.4500 -0.5 1.0 0.0 0.010268444444444445 0.010268444444444445 3189
23.9130 0.1560 80.5000 0.1475 0.1475 0 1.7800 -0.5 1.0 0.0 0.021756249999999998 0.021756249999999998 3200
23.9420 -0.1040 73.1000 0.0678 0.0678 0 2.3600 0.5 1.0 0.0 0.0046013611111111125 0.0046013611111111125 3202
24.0210 0.0580 111.7000 0.0378 0.0378 0 1.1800 -0.5 1.0 0.0 0.001431361111111111 0.001431361111111111 3212
24.0410 0.2690 94.7000 0.0962 0.0962 0 2.0900 -0.5 1.0 0.0 0.009248027777777777 0.009248027777777777 3213
24.0420 0.2250 105.4000 0.0613 0.0613 0 1.1500 -0.5 1.0 0.0 0.0037617777777777784 0.0037617777777777784 3214
24.0990 -0.1770 81.2000 0.1067 0.1067 0 1.6800 -0.5 1.0 0.0 0.01137777777777778 0.01137777777777778 3238
24.0580 0.4420 95.0000 0.1220 0.1220 0 1.5200 -0.5 1.0 0.0 0.014884 0.014884 3248
24.2620 0.4660 97.4000 0.0528 0.0528 0 1.9500 -0.5 1.0 0.0 0.0027913611111111108 0.0027913611111111108 3273
24.2970 -0.1530 101.2000 0.0353 0.0353 0 1.0100 -0.5 1.0 0.0 0.0012484444444444446 0.0012484444444444446 3280
24.3750 -0.1800 57.7000 0.0640 0.0640 0 1.8800 0.5 1.0 0.0 0.004096 0.004096 3307
24.3960 -0.2070 57.2000 0.0630 0.0630 0 1.9000 -0.5 1.0 0.0 0.003969 0.003969 3322
24.4630 0.4930 102.5000 0.1290 0.1290 0 2.3700 -0.5 1.0 0.0 0.016641 0.016641 3329
24.4770 -0.0390 109.4000 0.0638 0.0638 0 2.2500 -0.5 1.0 0.0 0.004074694444444445 0.004074694444444445 3337
24.5330 -0.2480 98.4000 0.0835 0.0835 0 2.4400 -0.5 1.0 0.0 0.006972249999999998 0.006972249999999998 3343
24.5720 0.3450 110.1000 0.1138 0.1138 0 1.5700 -0.5 1.0 0.0 0.012958027777777777 0.012958027777777777 3350
24.5370 -0.1430 44.5000 0.1130 0.1130 0 1.9900 -0.5 1.0 0.0 0.012769 0.012769 3352
24.5350 -0.1330 95.0000 0.0652 0.0652 0 2.0300 0.5 1.0 0.0 0.004246694444444444 0.004246694444444444 3358
24.6250 0.1620 52.9000 0.1323 0.1323 0 2.2700 -0.5 1.0 0.0 0.01751211111111111 0.01751211111111111 3383
24.5970 -0.3330 43.5000 0.0760 0.0760 0 0.8900 -0.5 1.0 0.0 0.005776 0.005776 3384
24.7740 0.0610 108.2000 0.1225 0.1225 0 2.7100 -0.5 1.0 0.0 0.015006249999999999 0.015006249999999999 3413
24.9280 0.0870 43.9000 0.0395 0.0395 0 2.1000 0.5 1.0 0.0 0.00156025 0.00156025 3437
25.1590 0.0850 44.8000 0.0480 0.0480 0 1.9200 0.5 1.0 0.0 0.002304 0.002304 3459
25.2170 -0.2400 62.8000 0.0998 0.0998 0 1.3800 -0.5 1.0 0.0 0.009966694444444443 0.009966694444444443 3461
25.2030 0.1510 104.9000 0.0705 0.0705 0 1.9600 -0.5 1.0 0.0 0.004970250000000001 0.004970250000000001 3469
25.2290 0.2990 47.1000 0.0292 0.0292 0 1.4800 -0.5 1.0 0.0 0.0008506944444444445 0.0008506944444444445 3474
25.2670 -0.4380 58.9000 0.0653 0.0653 0 1.2000 -0.5 1.0 0.0 0.004268444444444444 0.004268444444444444 3481
25.3640 0.2330 41.0000 0.0578 0.0578 0 0.9100 -0.5 1.0 0.0 0.0033446944444444444 0.0033446944444444444 3493
25.4090 -0.1830 64.4000 0.0373 0.0373 0 1.7500 0.5 1.0 0.0 0.001393777777777778 0.001393777777777778 3502
25.4140 -0.3570 56.4000 0.0627 0.0627 0 1.8600 -0.5 1.0 0.0 0.00392711111111111 0.00392711111111111 3504
25.4150 -0.1460 95.3000 0.0860 0.0860 0 2.2500 -0.5 1.0 0.0 0.0073960000000000015 0.0073960000000000015 3507
25.4070 0.1000 95.3000 0.0330 0.0330 0 0.8100 -0.5 1.0 0.0 0.0010890000000000001 0.0010890000000000001 3511
25.6490 -0.1320 93.3000 0.0843 0.0843 0 2.0800 -0.5 1.0 0.0 0.007112111111111111 0.007112111111111111 3552
25.6900 0.0420 54.6000 0.0460 0.0460 0 1.7300 0.5 1.0 0.0 0.002116 0.002116 3568
25.6940 0.0010 98.6000 0.0598 0.0598 0 1.5600 0.5 1.0 0.0 0.003580027777777777 0.003580027777777777 3576
25.7130 0.2530 111.1000 0.1205 0.1205 0 3.1900 -0.5 1.0 0.0 0.014520250000000002 0.014520250000000002 3588
25.8310 -0.1770 93.7000 0.0612 0.0612 0 1.4000 -0.5 1.0 0.0 0.003741361111111111 0.003741361111111111 3590
25.7790 -0.0610 91.4000 0.0687 0.0687 0 1.1500 -0.5 1.0 0.0 0.004715111111111111 0.004715111111111111 3591
25.8510 -0.3960 105.0000 0.0700 0.0700 0 1.6400 -0.5 1.0 0.0 0.004900000000000001 0.004900000000000001 3596
25.9950 -0.0550 89.9000 0.0413 0.0413 0 1.2600 -0.5 1.0 0.0 0.0017084444444444445 0.0017084444444444445 3620
26.1290 -0.0110 28.5000 0.0597 0.0597 0 1.4500 0.5 1.0 0.0 0.003560111111111111 0.003560111111111111 3626
26.2810 0.3020 87.1000 0.0530 0.0530 0 1.6300 0.5 1.0 0.0 0.002809 0.002809 3657
26.3410 0.0650 55.0000 0.0863 0.0863 0 1.9300 -0.5 1.0 0.0 0.007453444444444444 0.007453444444444444 3663
