| x_pos | y_pos | z_pos |   lon |   lat |   vel | comp |    dist | e_dist |   prob | arm |
|     0 |    59 |   236 | 20.01 | -0.74 |  45.2 |    1 |  3.3609 | 0.1751 |    1.0 | ScN |
|     0 |    59 |   329 | 20.01 | -0.74 |  65.0 |    1 |  3.7127 | 0.4137 | 0.3983 | ScN |
|     0 |    59 |   329 | 20.01 | -0.74 |  65.0 |    2 |  4.9826 | 0.3177 | 0.6017 | Nor |
|     0 |    60 |   214 | 20.01 | -0.74 |  40.5 |    1 |  3.3046 | 0.1823 |    1.0 | ScN |
|     0 |    60 |   237 | 20.01 | -0.74 |  45.4 |    1 |  3.3632 |  0.175 |    1.0 | ScN |
|     0 |    61 |   215 | 20.01 | -0.73 |  40.7 |    1 |  3.3071 | 0.1818 |    1.0 | ScN |
|     0 |    61 |   232 | 20.01 | -0.73 |  44.4 |    1 |  3.3518 | 0.1755 |    1.0 | ScN |
|     0 |    61 |   251 | 20.01 | -0.73 |  48.4 |    1 |  3.3982 | 0.1754 |    1.0 | ScN |
|     0 |    61 |   329 | 20.01 | -0.73 |  65.0 |    1 |  3.7163 | 0.4154 | 0.3915 | ScN |
|     0 |    61 |   329 | 20.01 | -0.73 |  65.0 |    2 |   4.986 | 0.3185 | 0.6085 | Nor |
|     0 |    62 |   215 | 20.01 | -0.72 |  40.7 |    1 |  3.3071 |  0.182 |    1.0 | ScN |
|     0 |    62 |   226 | 20.01 | -0.72 |  43.1 |    1 |  3.3365 | 0.1769 |    1.0 | ScN |
|     0 |    62 |   249 | 20.01 | -0.72 |  48.0 |    1 |  3.3922 | 0.1767 |    1.0 | ScN |
|     0 |    63 |   218 | 20.01 | -0.72 |  41.4 |    1 |   3.316 | 0.1801 |    1.0 | ScN |
|     0 |    63 |   237 | 20.01 | -0.72 |  45.4 |    1 |  3.3634 | 0.1754 |    1.0 | ScN |
|     0 |    63 |   322 | 20.01 | -0.72 |  63.5 |    1 |  3.7012 | 0.3903 |  0.496 | ScN |
|     0 |    63 |   322 | 20.01 | -0.72 |  63.5 |    2 |  4.9905 | 0.3344 |  0.504 | Nor |
|     0 |    64 |   216 | 20.01 | -0.71 |  41.0 |    1 |   3.311 | 0.1813 |    1.0 | ScN |
|     0 |    64 |   227 | 20.01 | -0.71 |  43.3 |    1 |  3.3391 | 0.1769 |    1.0 | ScN |
|     0 |    64 |   248 | 20.01 | -0.71 |  47.8 |    1 |  3.3904 | 0.1768 |    1.0 | ScN |
|     0 |    65 |   216 | 20.01 | -0.71 |  41.0 |    1 |   3.311 | 0.1813 |    1.0 | ScN |
|     0 |    65 |   226 | 20.01 | -0.71 |  43.1 |    1 |  3.3367 | 0.1771 |    1.0 | ScN |
|     0 |    65 |   248 | 20.01 | -0.71 |  47.8 |    1 |  3.3904 | 0.1768 |    1.0 | ScN |
